References,Value,LCSC,DigiKey PN,Quantity Per PCB,Footprint,Datasheet
C118-C119,27pF,C107045,1276-2247-1-ND,2,C_0603_1608Metric,~
"C104-C114,  C117,  C201-C233",100nF,C14663,1276-1006-1-ND,45,C_0603_1608Metric,~
"C102-C103,  C115-C116",1uF,C15849,1276-6524-1-ND,4,C_0603_1608Metric,~
C101,10uF,C19702,490-10475-1-ND,1,C_0603_1608Metric,~
D301-D333,1N4148,C444720,4530-1N4148WCT-ND,33,D_SOD-123,https://media.digikey.com/pdf/Data%20Sheets/Anbon%20Semi%20PDFs/1N4148W.pdf
D201-D233,SK6805MINI-E,C5149201,1528-4960-ND,33,LED_SK6812-E_3.2x2.8mm,https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf
J101,SWD,C492404,2057-PH1-05-UA-ND,1 (DNF),PinHeader_1x05_P2.54mm_Vertical,~
J103,UART,C2691448,2057-PH1-04-UA-ND,1 (DNF),PinHeader_1x04_P2.54mm_Vertical,~
J102,USB-C,C2927038,2073-USB4105-GF-A-060CT-ND,1,USB_C_Receptacle_GCT_USB4105-GF-A-060,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
R105-R106,27,C25190,CR0603-FX-27R0ELFCT-ND,2,R_0603_1608Metric,~
R104,330,C23138,CR0603-FX-3300ELFCT-ND,1,R_0603_1608Metric,~
R103,1k,C21190,RNCP0603FTD1K00CT-ND,1 (DNF),R_0603_1608Metric,~
R108,1k,C21190,RNCP0603FTD1K00CT-ND,1,R_0603_1608Metric,~
R101-R102,5.1k,C23186,CR0603-FX-5101ELFCT-ND,2,R_0603_1608Metric,~
R107,10k,C25804,RNCP0603FTD1K00CT-ND,1,R_0603_1608Metric,~
"SW301-SW317,  SW319-SW328,  SW330-SW331,  SW333",PG1511,C5156480,,30,SW_Hotswap_Kailh_MX_1.00u,https://www.kailhswitch.com/Content/upload/pdf/202215927/CPG151101S11-16.pdf?rnd=543
"SW318,  SW329",PG1511,C5156480,,2,SW_Hotswap_Kailh_MX_2.00u_90deg,https://www.kailhswitch.com/Content/upload/pdf/202215927/CPG151101S11-16.pdf?rnd=543
SW332,PG1511,C5156480,,1,SW_Hotswap_Kailh_MX_2.00u,https://www.kailhswitch.com/Content/upload/pdf/202215927/CPG151101S11-16.pdf?rnd=543
SW101-SW102,PTS636 SL43 SMTR LFS,C2800576,CKN12309-1-ND,2 (DNF),SW-PUSH-6x3.5mm_CK-PTS636SL43x_HandSolder,https://www.ckswitches.com/media/2779/pts636.pdf
U101,3.3V,C431682,576-3215-1-ND,1,SOT-353_SC-70-5,http://ww1.microchip.com/downloads/en/DeviceDoc/mic5365.pdf
U102,CM1213A−02Sx,C5359995,CM1213A-02SROSCT-ND,1,SOT-143,https://www.onsemi.com/pdf/datasheet/cm1213a-d.pdf
U104,RP2040,C2040,2648-SC0914(13)CT-ND,1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf
U103,SN74LVC1T45DCK,C9382,31-74LVC1T45DW-7CT-ND,1,SOT-363_SC-70-6,http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf
U105,W25Q40CLSNIG,C2641149,W25Q40CLSNIG-ND,1,SOIC-8_3.9x4.9mm_P1.27mm,http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf
Y101,ABLS-12.000MHZ-B4-T,C596818,535-10218-1-ND,1,Crystal_SMD_HC49-SD,https://abracon.com/Resonators/ABLS.pdf
